workerId    assignmentId    q1  q2  q3  q4  q5
5f12cb12e4995825387e41ee	6685926242712c49f3d4d06c	2	3	2	1	2
5c8e1261692c610018e14db1	6685926242712c49f3d4d06c	4	4	4	3	3
5fc8c8be8f6883292dbe81e9	6685926242712c49f3d4d06c	3	3	3	3	3
650b3c018723e34e469578a4	6685926242712c49f3d4d06c	5	4	4	4	4
5f16dc8d4d2df4000a6a4fd9	6685926242712c49f3d4d06c	2	2	2	2	2
59dc8c1b24d7bf00012f099f	6685926242712c49f3d4d06c	1	1	1	1	1
5c8d226f6924b6001081b4f2	6685926242712c49f3d4d06c	3	2	2	2	2
6647553d43a5c4dd9a129193	6685926242712c49f3d4d06c	1	2	3	2	2
5f36f1a0cca76a1549baf6dc	6685926242712c49f3d4d06c	5	5	5	5	4
5fd663588215d7567e027d5b	6685926242712c49f3d4d06c	2	2	2	1	2
5ad091dffb109b0001a3120a	6685926242712c49f3d4d06c	4	4	5	3	3
668516350e42cf31e23f03dc	6685926242712c49f3d4d06c	4	5	4	5	4
5e60db57fdef8001c1fdc6f7	6685926242712c49f3d4d06c	2	3	2	2	3
6672dacb6ff8245a80e4205c	6685926242712c49f3d4d06c	4	4	4	4	4
596e6e5cd7919800014b49b8	6685926242712c49f3d4d06c	5	5	5	5	5
667ed3fd60ae92bd04a7855f	6685926242712c49f3d4d06c	2	3	2	3	3
615a04685ccd2763823852f7	6685926242712c49f3d4d06c	2	2	1	2	2
5f32de1ebd944907faf937f4	6685926242712c49f3d4d06c	3	3	4	3	2
5e7253d4e8e2311879d30fce	6685926242712c49f3d4d06c	4	5	5	4	3
54905775fdf99b7255546dfe	6685926242712c49f3d4d06c	4	4	3	3	4
62d132acb69af7bf169cdbb8	6685926242712c49f3d4d06c	2	2	4	2	2
62a1979157e5b6c9a24af760	6685926242712c49f3d4d06c	5	5	5	5	5
66856dd10d6e5826d2e4c1d8	6685926242712c49f3d4d06c	5	5	5	5	3
6156ee61901c987ea794cca8	6685926242712c49f3d4d06c	1	1	1	1	1
63ea55fe1aee6acc422270f0	6685926242712c49f3d4d06c	3	3	3	2	2
6659e42c49aec7ddd44444fa	6685926242712c49f3d4d06c	4	4	4	4	3
62da6a18dcc4b4fbb94abd33	6685926242712c49f3d4d06c	2	2	1	1	2
6682db08d953c2cf476e16a2	6685926242712c49f3d4d06c	3	4	3	4	3
5d02e8a7c087120001942ae7	6685926242712c49f3d4d06c	3	3	2	2	3
66097f78410b0ff1d71857cf	6685926242712c49f3d4d06c	3	3	4	3	3
